"","LMAHDY"
"1988-01-22",2035
"1988-01-25",2030
"1988-01-26",1980
"1988-01-27",1965
"1988-01-28",1950
"1988-01-29",1960
"1988-02-01",1975
"1988-02-02",2000
"1988-02-03",2005
"1988-02-04",2050
"1988-02-05",2040
"1988-02-08",2025
"1988-02-09",2080
"1988-02-10",2110
"1988-02-11",2140
"1988-02-12",2150
"1988-02-15",2170
"1988-02-16",2260
"1988-02-17",2210
"1988-02-18",2255
"1988-02-19",2210
"1988-02-22",2280
"1988-02-23",2320
"1988-02-24",2310
"1988-02-25",2340
"1988-02-26",2350
"1988-02-29",2340
"1988-03-01",2345
"1988-03-02",2300
"1988-03-03",2260
"1988-03-04",2235
"1988-03-07",2320
"1988-03-08",2365
"1988-03-09",2360
"1988-03-10",2320
"1988-03-11",2355
"1988-03-14",2405
"1988-03-15",2395
"1988-03-16",2380
"1988-03-17",2500
"1988-03-18",2660
"1988-03-21",2655
"1988-03-22",2695
"1988-03-23",2730
"1988-03-24",2695
"1988-03-25",2730
"1988-03-28",2865
"1988-03-29",2900
"1988-03-30",2830
"1988-03-31",2960
"1988-04-05",2980
"1988-04-06",2955
"1988-04-07",2650
"1988-04-08",2900
"1988-04-11",2735
"1988-04-12",2610
"1988-04-13",2590
"1988-04-14",2395
"1988-04-15",2455
"1988-04-18",2340
"1988-04-19",2320
"1988-04-20",2325
"1988-04-21",2305
"1988-04-22",2410
"1988-04-25",2380
"1988-04-26",2315
"1988-04-27",2300
"1988-04-28",2380
"1988-04-29",2470
"1988-05-03",2500
"1988-05-04",2395
"1988-05-05",2520
"1988-05-06",2650
"1988-05-09",2765
"1988-05-10",2820
"1988-05-11",2955
"1988-05-12",3000
"1988-05-13",3150
"1988-05-16",3450
"1988-05-17",3300
"1988-05-18",3470
"1988-05-19",3465
"1988-05-20",3300
"1988-05-23",3025
"1988-05-24",3115
"1988-05-25",3015
"1988-05-26",3035
"1988-05-27",3220
"1988-05-31",3495
"1988-06-01",3850
"1988-06-02",3960
"1988-06-03",3985
"1988-06-06",3780
"1988-06-07",3865
"1988-06-08",3755
"1988-06-09",4065
"1988-06-10",4185
"1988-06-13",4290
"1988-06-14",3885
"1988-06-15",3860
"1988-06-16",3945
"1988-06-17",3480
"1988-06-20",3890
"1988-06-21",3930
"1988-06-22",3990
"1988-06-23",3200
"1988-06-24",3010
"1988-06-27",2920
"1988-06-28",2830
"1988-06-29",2710
"1988-06-30",2800
"1988-07-01",2590
"1988-07-04",2651
"1988-07-05",2755
"1988-07-06",2660
"1988-07-07",2830
"1988-07-08",2820
"1988-07-11",2820
"1988-07-12",2730
"1988-07-13",2680
"1988-07-14",2620
"1988-07-15",2715
"1988-07-18",2605
"1988-07-19",2520
"1988-07-20",2620
"1988-07-21",2670
"1988-07-22",2820
"1988-07-25",2900
"1988-07-26",2860
"1988-07-27",2710
"1988-07-28",2705
"1988-07-29",2680
"1988-08-01",2615
"1988-08-02",2610
"1988-08-03",2610
"1988-08-04",2655
"1988-08-05",2695
"1988-08-08",2682
"1988-08-09",2735
"1988-08-10",2830
"1988-08-11",2790
"1988-08-12",2820
"1988-08-15",2730
"1988-08-16",2745
"1988-08-17",2750
"1988-08-18",2700
"1988-08-19",2800
"1988-08-22",2715
"1988-08-23",2900
"1988-08-24",2950
"1988-08-25",2945
"1988-08-26",2950
"1988-08-30",2840
"1988-08-31",2800
"1988-09-01",2690
"1988-09-02",2660
"1988-09-05",2570
"1988-09-06",2600
"1988-09-07",2570
"1988-09-08",2550
"1988-09-09",2470
"1988-09-12",2360
"1988-09-13",2550
"1988-09-14",2460
"1988-09-15",2600
"1988-09-16",2440
"1988-09-19",2310
"1988-09-20",2335
"1988-09-21",2340
"1988-09-22",2395
"1988-09-23",2400
"1988-09-26",2300
"1988-09-27",2190
"1988-09-28",2225
"1988-09-29",2140
"1988-09-30",2215
"1988-10-03",2220
"1988-10-04",2160
"1988-10-05",2250
"1988-10-06",2290
"1988-10-07",2320
"1988-10-10",2290
"1988-10-11",2265
"1988-10-12",2290
"1988-10-13",2215
"1988-10-14",2225
"1988-10-17",2340
"1988-10-18",2250
"1988-10-19",2415
"1988-10-20",2425
"1988-10-21",2580
"1988-10-24",2530
"1988-10-25",2470
"1988-10-26",2480
"1988-10-27",2438
"1988-10-28",2500
"1988-10-31",2450
"1988-11-01",2425
"1988-11-02",2445
"1988-11-03",2490
"1988-11-04",2523
"1988-11-07",2480
"1988-11-08",2565
"1988-11-09",2598
"1988-11-10",2570
"1988-11-11",2500
"1988-11-14",2462
"1988-11-15",2360
"1988-11-16",2356
"1988-11-17",2405
"1988-11-18",2325
"1988-11-21",2305
"1988-11-22",2373
"1988-11-23",2432
"1988-11-24",2410
"1988-11-25",2405
"1988-11-28",2425
"1988-11-29",2405
"1988-11-30",2365
"1988-12-01",2416
"1988-12-02",2515
"1988-12-05",2465
"1988-12-06",2480
"1988-12-07",2475
"1988-12-08",2520
"1988-12-09",2545
"1988-12-12",2551
"1988-12-13",2458
"1988-12-14",2535
"1988-12-15",2530
"1988-12-16",2520
"1988-12-19",2437
"1988-12-20",2480
"1988-12-21",2497
"1988-12-22",2500
"1988-12-23",2545
"1988-12-28",2555
"1988-12-29",2530
"1988-12-30",2546
"1989-01-03",2600
"1989-01-04",2595
"1989-01-05",2502
"1989-01-06",2450
"1989-01-09",2445
"1989-01-10",2420
"1989-01-11",2390
"1989-01-12",2375
"1989-01-13",2398
"1989-01-16",2381
"1989-01-17",2425
"1989-01-18",2355
"1989-01-19",2325
"1989-01-20",2340
"1989-01-23",2330
"1989-01-24",2420
"1989-01-25",2370
"1989-01-26",2373
"1989-01-27",2347
"1989-01-30",2285
"1989-01-31",2266
"1989-02-01",2236
"1989-02-02",2215
"1989-02-03",2215
"1989-02-06",2175
"1989-02-07",2165
"1989-02-08",2260
"1989-02-09",2193
"1989-02-10",2180
"1989-02-13",2101
"1989-02-14",2137
"1989-02-15",2122
"1989-02-16",2133
"1989-02-17",2160
"1989-02-20",2148
"1989-02-21",2175
"1989-02-22",2242
"1989-02-23",2212
"1989-02-24",2181
"1989-02-27",2235
"1989-02-28",2210
"1989-03-01",2185
"1989-03-02",2230
"1989-03-03",2328
"1989-03-06",2282
"1989-03-07",2255
"1989-03-08",2280
"1989-03-09",2197
"1989-03-10",2105
"1989-03-13",2065
"1989-03-14",1980
"1989-03-15",2040
"1989-03-16",1982
"1989-03-17",2020
"1989-03-20",1900
"1989-03-21",1895
"1989-03-22",1931
"1989-03-23",1990
"1989-03-28",2030
"1989-03-29",2000
"1989-03-30",1950
"1989-03-31",1950
"1989-04-03",1961
"1989-04-04",1990
"1989-04-05",2028
"1989-04-06",2038
"1989-04-07",2100
"1989-04-10",2030
"1989-04-11",2073
"1989-04-12",2102
"1989-04-13",2094
"1989-04-14",2072
"1989-04-17",2173
"1989-04-18",2147
"1989-04-19",2126
"1989-04-20",2101
"1989-04-21",2182
"1989-04-24",2310
"1989-04-25",2280
"1989-04-26",2205
"1989-04-27",2225
"1989-04-28",2305
"1989-05-02",2245
"1989-05-03",2241
"1989-05-04",2261
"1989-05-05",2270
"1989-05-08",2355
"1989-05-09",2340
"1989-05-10",2305
"1989-05-11",2330
"1989-05-12",2470
"1989-05-15",2442
"1989-05-16",2442
"1989-05-17",2372
"1989-05-18",2375
"1989-05-19",2300
"1989-05-22",2225
"1989-05-23",2078
"1989-05-24",2055
"1989-05-25",2117
"1989-05-26",2147
"1989-05-30",2111
"1989-05-31",2010
"1989-06-01",1995
"1989-06-02",1970
"1989-06-05",2020
"1989-06-06",1945
"1989-06-07",1990
"1989-06-08",1912
"1989-06-09",1905
"1989-06-12",1875
"1989-06-13",1920
"1989-06-14",1957
"1989-06-15",1905
"1989-06-16",1935
"1989-06-19",1940
"1989-06-20",1932
"1989-06-21",1887
"1989-06-22",1905
"1989-06-23",1900
"1989-06-26",1881
"1989-06-27",1852
"1989-06-28",1805
"1989-06-29",1862
"1989-06-30",1860
"1989-07-03",1778
"1989-07-04",1796
"1989-07-05",1820
"1989-07-06",1838
"1989-07-07",1825
"1989-07-10",1820
"1989-07-11",1775
"1989-07-12",1770
"1989-07-13",1725
"1989-07-14",1681
"1989-07-17",1657
"1989-07-18",1715
"1989-07-19",1726
"1989-07-20",1725
"1989-07-21",1732
"1989-07-24",1747
"1989-07-25",1756
"1989-07-26",1746
"1989-07-27",1758
"1989-07-28",1745
"1989-07-31",1768
"1989-08-01",1810
"1989-08-02",1815
"1989-08-03",1790
"1989-08-04",1761
"1989-08-07",1749
"1989-08-08",1736
"1989-08-09",1747
"1989-08-10",1772
"1989-08-11",1782
"1989-08-14",1782
"1989-08-15",1777
"1989-08-16",1763
"1989-08-17",1744
"1989-08-18",1777
"1989-08-21",1810
"1989-08-22",1841
"1989-08-23",1865
"1989-08-24",1861
"1989-08-25",1861
"1989-08-29",1883
"1989-08-30",1861
"1989-08-31",1795
"1989-09-01",1795
"1989-09-04",1801
"1989-09-05",1757
"1989-09-06",1768
"1989-09-07",1721
"1989-09-08",1735
"1989-09-11",1690
"1989-09-12",1710
"1989-09-13",1720
"1989-09-14",1712
"1989-09-15",1713
"1989-09-18",1680
"1989-09-19",1685
"1989-09-20",1650
"1989-09-21",1644
"1989-09-22",1715
"1989-09-25",1716
"1989-09-26",1682
"1989-09-27",1727
"1989-09-28",1716
"1989-09-29",1765
"1989-10-02",1792
"1989-10-03",1752
"1989-10-04",1771
"1989-10-05",1793
"1989-10-06",1785
"1989-10-09",1795
"1989-10-10",1800
"1989-10-11",1778
"1989-10-12",1826
"1989-10-13",1865
"1989-10-16",1865
"1989-10-17",1878
"1989-10-18",1920
"1989-10-19",1905
"1989-10-20",1875
"1989-10-23",1851
"1989-10-24",1828
"1989-10-25",1827
"1989-10-26",1800
"1989-10-27",1784
"1989-10-30",1800
"1989-10-31",1781
"1989-11-01",1766
"1989-11-02",1769
"1989-11-03",1735
"1989-11-06",1728
"1989-11-07",1740
"1989-11-08",1780
"1989-11-09",1790
"1989-11-10",1807
"1989-11-13",1791
"1989-11-14",1760
"1989-11-15",1725
"1989-11-16",1735
"1989-11-17",1722
"1989-11-20",1700
"1989-11-21",1709
"1989-11-22",1707
"1989-11-23",1694
"1989-11-24",1691
"1989-11-27",1706
"1989-11-28",1707
"1989-11-29",1740
"1989-11-30",1716
"1989-12-01",1705
"1989-12-04",1700
"1989-12-05",1650
"1989-12-06",1657
"1989-12-07",1667
"1989-12-08",1658
"1989-12-11",1608
"1989-12-12",1600
"1989-12-13",1634
"1989-12-14",1632
"1989-12-15",1624
"1989-12-18",1612
"1989-12-19",1581
"1989-12-20",1598
"1989-12-21",1615
"1989-12-22",1627
"1989-12-27",1625
"1989-12-28",1625
"1989-12-29",1628
"1990-01-02",1630
"1990-01-03",1639
"1990-01-04",1645
"1990-01-05",1639
"1990-01-08",1607
"1990-01-09",1608
"1990-01-10",1580
"1990-01-11",1579
"1990-01-12",1553
"1990-01-15",1530
"1990-01-16",1495
"1990-01-17",1540
"1990-01-18",1537
"1990-01-19",1499
"1990-01-22",1472
"1990-01-23",1455
"1990-01-24",1451
"1990-01-25",1459
"1990-01-26",1462
"1990-01-29",1446
"1990-01-30",1430
"1990-01-31",1380
"1990-02-01",1398
"1990-02-02",1421
"1990-02-05",1434
"1990-02-06",1412
"1990-02-07",1417
"1990-02-08",1419
"1990-02-09",1436
"1990-02-12",1428
"1990-02-13",1418
"1990-02-14",1434
"1990-02-15",1455
"1990-02-16",1515
"1990-02-19",1521
"1990-02-20",1499
"1990-02-21",1467
"1990-02-22",1485
"1990-02-23",1480
"1990-02-26",1497
"1990-02-27",1483
"1990-02-28",1478
"1990-03-01",1535
"1990-03-02",1527
"1990-03-05",1546
"1990-03-06",1543
"1990-03-07",1498
"1990-03-08",1509
"1990-03-09",1514
"1990-03-12",1526
"1990-03-13",1532
"1990-03-14",1561
"1990-03-15",1608
"1990-03-16",1653
"1990-03-19",1643
"1990-03-20",1593
"1990-03-21",1589
"1990-03-22",1612
"1990-03-23",1592
"1990-03-26",1573
"1990-03-27",1588
"1990-03-28",1577
"1990-03-29",1585
"1990-03-30",1591
"1990-04-02",1608
"1990-04-03",1592
"1990-04-04",1580
"1990-04-05",1550
"1990-04-06",1545
"1990-04-09",1511
"1990-04-10",1490
"1990-04-11",1497
"1990-04-12",1479
"1990-04-17",1461
"1990-04-18",1503
"1990-04-19",1520
"1990-04-20",1533
"1990-04-23",1538
"1990-04-24",1536
"1990-04-25",1531
"1990-04-26",1516
"1990-04-27",1510
"1990-04-30",1500
"1990-05-01",1504
"1990-05-02",1499
"1990-05-03",1491
"1990-05-04",1492
"1990-05-08",1497
"1990-05-09",1504
"1990-05-10",1530
"1990-05-11",1541
"1990-05-14",1534
"1990-05-15",1537
"1990-05-16",1516
"1990-05-17",1527
"1990-05-18",1518
"1990-05-21",1522
"1990-05-22",1535
"1990-05-23",1566
"1990-05-24",1547
"1990-05-25",1548
"1990-05-29",1558
"1990-05-30",1548
"1990-05-31",1564
"1990-06-01",1570
"1990-06-04",1615
"1990-06-05",1605
"1990-06-06",1611
"1990-06-07",1586
"1990-06-08",1578
"1990-06-11",1563
"1990-06-12",1574
"1990-06-13",1572
"1990-06-14",1569
"1990-06-15",1581
"1990-06-18",1571
"1990-06-19",1568
"1990-06-20",1540
"1990-06-21",1545
"1990-06-22",1559
"1990-06-25",1536
"1990-06-26",1518
"1990-06-27",1541
"1990-06-28",1540
"1990-06-29",1551
"1990-07-02",1530
"1990-07-03",1527
"1990-07-04",1525
"1990-07-05",1534
"1990-07-06",1538
"1990-07-09",1557
"1990-07-10",1550
"1990-07-11",1548
"1990-07-12",1549
"1990-07-13",1550
"1990-07-16",1541
"1990-07-17",1543
"1990-07-18",1538
"1990-07-19",1543
"1990-07-20",1549
"1990-07-23",1554
"1990-07-24",1560
"1990-07-25",1563
"1990-07-26",1614
"1990-07-27",1685
"1990-07-30",1757
"1990-07-31",1721
"1990-08-01",1721
"1990-08-02",1752
"1990-08-03",1720
"1990-08-06",1732
"1990-08-07",1749
"1990-08-08",1763
"1990-08-09",1772
"1990-08-10",1770
"1990-08-13",1815
"1990-08-14",1801
"1990-08-15",1794
"1990-08-16",1801
"1990-08-17",1784
"1990-08-20",1800
"1990-08-21",1791
"1990-08-22",1804
"1990-08-23",1795
"1990-08-24",1798
"1990-08-28",1804
"1990-08-29",1788
"1990-08-30",1799
"1990-08-31",1866
"1990-09-03",1852
"1990-09-04",1853
"1990-09-05",1905
"1990-09-06",1962
"1990-09-07",2018
"1990-09-10",2090
"1990-09-11",2035
"1990-09-12",2072
"1990-09-13",2146
"1990-09-14",2130
"1990-09-17",2245
"1990-09-18",2153
"1990-09-19",2245
"1990-09-20",2219
"1990-09-21",2200
"1990-09-24",2135
"1990-09-25",2040
"1990-09-26",1983
"1990-09-27",2100
"1990-09-28",1979
"1990-10-01",1921
"1990-10-02",1968
"1990-10-03",1977
"1990-10-04",1991
"1990-10-05",1980
"1990-10-08",2025
"1990-10-09",2024
"1990-10-10",2022
"1990-10-11",1955
"1990-10-12",1831
"1990-10-15",1830
"1990-10-16",1938
"1990-10-17",1962
"1990-10-18",2035
"1990-10-19",1985
"1990-10-22",1885
"1990-10-23",1915
"1990-10-24",1929
"1990-10-25",1935
"1990-10-26",1941
"1990-10-29",1900
"1990-10-30",1889
"1990-10-31",1942
"1990-11-01",1945
"1990-11-02",1910
"1990-11-05",1732
"1990-11-06",1650
"1990-11-07",1567
"1990-11-08",1613
"1990-11-09",1592
"1990-11-12",1607
"1990-11-13",1626
"1990-11-14",1614
"1990-11-15",1636
"1990-11-16",1611
"1990-11-19",1566
"1990-11-20",1569
"1990-11-21",1582
"1990-11-22",1587
"1990-11-23",1546
"1990-11-26",1524
"1990-11-27",1551
"1990-11-28",1536
"1990-11-29",1520
"1990-11-30",1520
"1990-12-03",1490
"1990-12-04",1503
"1990-12-05",1498
"1990-12-06",1541
"1990-12-07",1579
"1990-12-10",1529
"1990-12-11",1516
"1990-12-12",1511
"1990-12-13",1518
"1990-12-14",1541
"1990-12-17",1501
"1990-12-18",1540
"1990-12-19",1531
"1990-12-20",1508
"1990-12-21",1522
"1990-12-27",1536
"1990-12-28",1526
"1991-01-02",1535
"1991-01-03",1555
"1991-01-04",1555
"1991-01-07",1569
"1991-01-08",1540
"1991-01-09",1533
"1991-01-10",1534
"1991-01-11",1531
"1991-01-14",1512
"1991-01-15",1528
"1991-01-16",1521
"1991-01-17",1511
"1991-01-18",1525
"1991-01-21",1526
"1991-01-22",1526
"1991-01-23",1492
"1991-01-24",1473
"1991-01-25",1475
"1991-01-28",1479
"1991-01-29",1488
"1991-01-30",1473
"1991-01-31",1464
"1991-02-01",1468
"1991-02-04",1473
"1991-02-05",1471
"1991-02-06",1472
"1991-02-07",1479
"1991-02-08",1502
"1991-02-11",1506
"1991-02-12",1514
"1991-02-13",1506
"1991-02-14",1503
"1991-02-15",1505
"1991-02-19",1500
"1991-02-20",1506
"1991-02-21",1514
"1991-02-22",1529
"1991-02-25",1513
"1991-02-26",1541
"1991-02-27",1546
"1991-02-28",1548
"1991-03-01",1536
"1991-03-04",1533
"1991-03-05",1541
"1991-03-06",1538
"1991-03-07",1537
"1991-03-08",1530
"1991-03-11",1517
"1991-03-12",1506
"1991-03-13",1526
"1991-03-14",1508
"1991-03-15",1508
"1991-03-18",1505
"1991-03-19",1496
"1991-03-20",1477
"1991-03-21",1478
"1991-03-22",1479
"1991-03-25",1461
"1991-03-26",1438
"1991-03-27",1404
"1991-03-28",1413
"1991-04-02",1424
"1991-04-03",1441
"1991-04-04",1452
"1991-04-05",1439
"1991-04-08",1413
"1991-04-09",1406
"1991-04-10",1414
"1991-04-11",1403
"1991-04-12",1398
"1991-04-15",1380
"1991-04-16",1380
"1991-04-17",1392
"1991-04-18",1416
"1991-04-19",1403
"1991-04-22",1385
"1991-04-23",1376
"1991-04-24",1357
"1991-04-25",1348
"1991-04-26",1350
"1991-04-29",1326
"1991-04-30",1338
"1991-05-01",1346
"1991-05-02",1321
"1991-05-03",1313
"1991-05-07",1306
"1991-05-08",1316
"1991-05-09",1327
"1991-05-10",1324
"1991-05-13",1283
"1991-05-14",1322
"1991-05-15",1309
"1991-05-16",1301
"1991-05-17",1304
"1991-05-20",1290
"1991-05-21",1299
"1991-05-22",1301
"1991-05-23",1287
"1991-05-24",1272
"1991-05-28",1266
"1991-05-29",1248
"1991-05-30",1250
"1991-05-31",1243
"1991-06-03",1230
"1991-06-04",1224
"1991-06-05",1228
"1991-06-06",1226
"1991-06-07",1227
"1991-06-10",1222
"1991-06-11",1287
"1991-06-12",1306
"1991-06-13",1266
"1991-06-14",1274
"1991-06-17",1338
"1991-06-18",1326
"1991-06-19",1297
"1991-06-20",1302
"1991-06-21",1294
"1991-06-24",1282
"1991-06-25",1288
"1991-06-26",1292
"1991-06-27",1299
"1991-06-28",1307
"1991-07-01",1316
"1991-07-02",1317
"1991-07-03",1327
"1991-07-04",1332
"1991-07-05",1327
"1991-07-08",1332
"1991-07-09",1310
"1991-07-10",1296
"1991-07-11",1305
"1991-07-12",1309
"1991-07-15",1304
"1991-07-16",1302
"1991-07-17",1303
"1991-07-18",1299
"1991-07-19",1295
"1991-07-22",1296
"1991-07-23",1281
"1991-07-24",1266
"1991-07-25",1261
"1991-07-26",1266
"1991-07-29",1266
"1991-07-30",1263
"1991-07-31",1265
"1991-08-01",1272
"1991-08-02",1262
"1991-08-05",1260
"1991-08-06",1258
"1991-08-07",1266
"1991-08-08",1273
"1991-08-09",1265
"1991-08-12",1271
"1991-08-13",1268
"1991-08-14",1258
"1991-08-15",1241
"1991-08-16",1245
"1991-08-19",1251
"1991-08-20",1244
"1991-08-21",1240
"1991-08-22",1247
"1991-08-23",1248
"1991-08-27",1247
"1991-08-28",1262
"1991-08-29",1264
"1991-08-30",1254
"1991-09-02",1257
"1991-09-03",1253
"1991-09-04",1251
"1991-09-05",1250
"1991-09-06",1253
"1991-09-09",1254
"1991-09-10",1253
"1991-09-11",1252
"1991-09-12",1211
"1991-09-13",1226
"1991-09-16",1209
"1991-09-17",1194
"1991-09-18",1202
"1991-09-19",1194
"1991-09-20",1187
"1991-09-23",1172
"1991-09-24",1169
"1991-09-25",1186
"1991-09-26",1174
"1991-09-27",1161
"1991-09-30",1151
"1991-10-01",1146.5
"1991-10-02",1146
"1991-10-03",1133.5
"1991-10-04",1126.5
"1991-10-07",1108
"1991-10-08",1121.5
"1991-10-09",1108
"1991-10-10",1112
"1991-10-11",1111
"1991-10-14",1122.5
"1991-10-15",1111
"1991-10-16",1131.5
"1991-10-17",1220
"1991-10-18",1206
"1991-10-21",1193
"1991-10-22",1195
"1991-10-23",1185.5
"1991-10-24",1183
"1991-10-25",1175
"1991-10-28",1167
"1991-10-29",1152
"1991-10-30",1149
"1991-10-31",1156
"1991-11-01",1154
"1991-11-04",1153
"1991-11-05",1155
"1991-11-06",1150
"1991-11-07",1156.5
"1991-11-08",1149
"1991-11-11",1135
"1991-11-12",1135
"1991-11-13",1144.5
"1991-11-14",1139.5
"1991-11-15",1166
"1991-11-18",1142
"1991-11-19",1130
"1991-11-20",1135.5
"1991-11-21",1127.5
"1991-11-22",1117.5
"1991-11-25",1112.5
"1991-11-26",1116.5
"1991-11-27",1110.5
"1991-11-28",1106
"1991-11-29",1102.5
"1991-12-02",1098.5
"1991-12-03",1079.5
"1991-12-04",1073.5
"1991-12-05",1077
"1991-12-06",1086
"1991-12-09",1086.5
"1991-12-10",1078.5
"1991-12-11",1088.5
"1991-12-12",1116
"1991-12-13",1094.5
"1991-12-16",1097.5
"1991-12-17",1106
"1991-12-18",1105
"1991-12-19",1101.5
"1991-12-20",1103.5
"1991-12-23",1110
"1991-12-24",1114
"1991-12-30",1118
"1991-12-31",1126
"1992-01-20",1222.5
"1992-01-21",1199.5
"1992-01-22",1190
"1992-01-23",1217
"1992-01-24",1255
"1992-01-27",1261
"1992-01-28",1251.5
"1992-01-29",1265.5
"1992-01-30",1236
"1992-01-31",1223
"1992-02-03",1221
"1992-02-04",1209
"1992-02-05",1209
"1992-02-06",1224
"1992-02-07",1245.5
"1992-02-10",1248
"1992-02-11",1242.5
"1992-02-12",1237.5
"1992-02-13",1266
"1992-02-14",1287.5
"1992-02-17",1305.5
"1992-02-18",1290
"1992-02-19",1268
"1992-02-20",1261
"1992-02-21",1267.5
"1992-02-24",1303.5
"1992-02-25",1315
"1992-02-26",1332.5
"1992-02-27",1312
"1992-02-28",1299.5
"1992-03-02",1281
"1992-03-03",1280.5
"1992-03-04",1283
"1992-03-05",1295.5
"1992-03-06",1282
"1992-03-09",1268.5
"1992-03-10",1267
"1992-03-11",1265.5
"1992-03-12",1275
"1992-03-13",1282
"1992-03-16",1266
"1992-03-17",1267.5
"1992-03-18",1283.5
"1992-03-19",1290
"1992-03-20",1305
"1992-03-23",1283.5
"1992-03-24",1275
"1992-03-25",1285
"1992-03-26",1282
"1992-03-27",1281
"1992-03-30",1290
"1992-03-31",1289.5
"1992-04-01",1294
"1992-04-02",1295
"1992-04-03",1302
"1992-04-06",1297
"1992-04-07",1306.5
"1992-04-08",1344
"1992-04-09",1322
"1992-04-10",1335
"1992-04-13",1336.5
"1992-04-14",1343
"1992-04-15",1327
"1992-04-16",1334
"1992-04-21",1329.5
"1992-04-22",1333
"1992-04-23",1327.5
"1992-04-24",1314
"1992-04-27",1316
"1992-04-28",1304
"1992-04-29",1306.5
"1992-04-30",1317.4
"1992-05-01",1284
"1992-05-05",1283
"1992-05-06",1293.5
"1992-05-07",1298.5
"1992-05-08",1299
"1992-05-11",1304
"1992-05-12",1301
"1992-05-13",1300.5
"1992-05-14",1307.5
"1992-05-15",1303.5
"1992-05-18",1313
"1992-05-19",1325
"1992-05-20",1334
"1992-05-21",1323
"1992-05-22",1320
"1992-05-26",1319
"1992-05-27",1316
"1992-05-28",1304.5
"1992-05-29",1305
"1992-06-01",1306
"1992-06-02",1308.5
"1992-06-03",1306.5
"1992-06-04",1308.5
"1992-06-05",1302.5
"1992-06-08",1289
"1992-06-09",1279
"1992-06-10",1279
"1992-06-11",1271
"1992-06-12",1273.5
"1992-06-15",1265
"1992-06-16",1270
"1992-06-17",1276
"1992-06-18",1266
"1992-06-19",1248.5
"1992-06-22",1239
"1992-06-23",1233
"1992-06-24",1242
"1992-06-25",1257.5
"1992-06-26",1255
"1992-06-29",1276
"1992-06-30",1275.91
"1992-07-01",1315
"1992-07-02",1310
"1992-07-03",1316
"1992-07-06",1314
"1992-07-07",1311.5
"1992-07-08",1315
"1992-07-09",1292
"1992-07-10",1288.5
"1992-07-13",1294.5
"1992-07-14",1290
"1992-07-15",1301
"1992-07-16",1298.5
"1992-07-17",1311
"1992-07-20",1313.5
"1992-07-21",1317.5
"1992-07-22",1334.5
"1992-07-23",1331
"1992-07-24",1337
"1992-07-27",1344.5
"1992-07-28",1331
"1992-07-29",1317
"1992-07-30",1310
"1992-07-31",1313.43
"1992-08-03",1323.5
"1992-08-04",1324.5
"1992-08-05",1318
"1992-08-06",1309
"1992-08-07",1309
"1992-08-10",1316
"1992-08-11",1307.5
"1992-08-12",1305
"1992-08-13",1302.5
"1992-08-14",1299
"1992-08-17",1299
"1992-08-18",1300.5
"1992-08-19",1293.5
"1992-08-20",1299
"1992-08-21",1295
"1992-08-24",1305
"1992-08-25",1303.5
"1992-08-26",1303
"1992-08-27",1298.5
"1992-08-28",1305.43
"1992-09-01",1295.5
"1992-09-02",1297.5
"1992-09-03",1291
