Index,UKX
2012-02-09,5875.93
2012-02-10,5895.47
2012-02-13,5852.39
2012-02-14,5905.7
2012-02-15,5899.87
2012-02-16,5892.16
2012-02-17,5885.38
2012-02-20,5905.07
2012-02-21,5945.25
2012-02-22,5928.2
2012-02-23,5916.55
2012-02-24,5937.89
2012-02-27,5935.13
2012-02-28,5915.55
2012-02-29,5927.91
2012-03-01,5871.51
2012-03-02,5931.25
2012-03-05,5911.13
2012-03-06,5874.82
2012-03-07,5765.8
2012-03-08,5791.41
2012-03-09,5859.73
2012-03-12,5887.49
2012-03-13,5892.75
2012-03-14,5955.91
2012-03-15,5945.43
2012-03-16,5940.72
2012-03-19,5965.58
2012-03-20,5961.11
2012-03-21,5891.41
2012-03-22,5891.95
2012-03-23,5845.65
2012-03-26,5854.89
2012-03-27,5902.7
2012-03-28,5869.55
2012-03-29,5808.99
2012-03-30,5742.03
2012-04-02,5768.45
2012-04-03,5874.89
2012-04-04,5838.34
2012-04-05,5703.77
2012-04-09,5723.67
2012-04-10,
2012-04-11,5595.55
2012-04-12,5634.74
2012-04-13,5710.46
2012-04-16,5651.79
2012-04-17,5666.28
2012-04-18,5766.95
2012-04-19,5745.29
2012-04-20,5744.55
2012-04-23,5772.15
2012-04-24,5665.57
2012-04-25,5709.49
2012-04-26,5718.89
2012-04-27,5748.72
2012-04-30,5777.11
2012-05-01,5737.78
2012-05-02,5812.23
2012-05-03,5758.11
2012-05-04,5766.55
2012-05-07,5655.06
2012-05-08,
2012-05-09,5554.55
2012-05-10,5530.05
2012-05-11,5543.95
2012-05-14,5575.52
2012-05-15,5465.52
2012-05-16,5437.62
2012-05-17,5405.25
2012-05-18,5338.38
2012-05-21,5267.62
2012-05-22,5304.48
2012-05-23,5403.28
2012-05-24,5266.41
2012-05-25,5350.05
2012-05-28,5351.53
2012-05-29,5356.34
2012-05-30,5391.14
2012-05-31,5297.28
2012-06-01,5320.86
2012-06-04,5260.19
2012-06-05,
2012-06-06,
